word_class,english,article,german,past_tense,perfect_tense,plural
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
