word_class,english,article,german,past_tense,perfect_tense,plural
noun,friend,der,Freund,,,Freunde
noun,city,die,Stadt,,,Städte
noun,man,der,Mann,,,Männer
noun,woman,die,Frau,,,Frauen
noun,city,die,Stadt,,,Städte
noun,door,die,Tür,,,Türen
noun,friend,der,Freund,,,Freunde
noun,child,das,Kind,,,Kinder
noun,city,die,Stadt,,,Städte
noun,door,die,Tür,,,Türen
noun,man,der,Mann,,,Männer
noun,dog,der,Hund,,,Hunde
noun,woman,die,Frau,,,Frauen
noun,man,der,Mann,,,Männer
noun,city,die,Stadt,,,Städte
noun,dog,der,Hund,,,Hunde
noun,chair,der,Stuhl,,,Stühle
noun,cat,die,Katze,,,Katzen
noun,chair,der,Stuhl,,,Stühle
noun,table,der,Tisch,,,Tische
noun,cat,die,Katze,,,Katzen
noun,chair,der,Stuhl,,,Stühle
noun,chair,der,Stuhl,,,Stühle
noun,friend,der,Freund,,,Freunde
noun,city,die,Stadt,,,Städte
noun,dog,der,Hund,,,Hunde
noun,chair,der,Stuhl,,,Stühle
noun,cat,die,Katze,,,Katzen
noun,chair,der,Stuhl,,,Stühle
noun,door,die,Tür,,,Türen
noun,dog,der,Hund,,,Hunde
noun,man,der,Mann,,,Männer
noun,chair,der,Stuhl,,,Stühle
noun,table,der,Tisch,,,Tische
noun,chair,der,Stuhl,,,Stühle
noun,door,die,Tür,,,Türen
noun,man,der,Mann,,,Männer
noun,chair,der,Stuhl,,,Stühle
noun,woman,die,Frau,,,Frauen
noun,door,die,Tür,,,Türen
noun,woman,die,Frau,,,Frauen
noun,woman,die,Frau,,,Frauen
noun,dog,der,Hund,,,Hunde
noun,man,der,Mann,,,Männer
noun,chair,der,Stuhl,,,Stühle
noun,city,die,Stadt,,,Städte
noun,dog,der,Hund,,,Hunde
noun,child,das,Kind,,,Kinder
noun,table,der,Tisch,,,Tische
noun,table,der,Tisch,,,Tische
noun,door,die,Tür,,,Türen
noun,cat,die,Katze,,,Katzen
noun,cat,die,Katze,,,Katzen
noun,door,die,Tür,,,Türen
noun,door,die,Tür,,,Türen
noun,city,die,Stadt,,,Städte
noun,door,die,Tür,,,Türen
noun,door,die,Tür,,,Türen
noun,door,die,Tür,,,Türen
noun,table,der,Tisch,,,Tische
noun,woman,die,Frau,,,Frauen
noun,dog,der,Hund,,,Hunde
noun,dog,der,Hund,,,Hunde
noun,city,die,Stadt,,,Städte
noun,table,der,Tisch,,,Tische
noun,child,das,Kind,,,Kinder
noun,man,der,Mann,,,Männer
noun,door,die,Tür,,,Türen
noun,cat,die,Katze,,,Katzen
noun,door,die,Tür,,,Türen
noun,chair,der,Stuhl,,,Stühle
noun,city,die,Stadt,,,Städte
noun,city,die,Stadt,,,Städte
noun,man,der,Mann,,,Männer
noun,chair,der,Stuhl,,,Stühle
noun,chair,der,Stuhl,,,Stühle
noun,woman,die,Frau,,,Frauen
noun,friend,der,Freund,,,Freunde
noun,child,das,Kind,,,Kinder
noun,dog,der,Hund,,,Hunde
noun,dog,der,Hund,,,Hunde
noun,woman,die,Frau,,,Frauen
noun,child,das,Kind,,,Kinder
noun,cat,die,Katze,,,Katzen
noun,chair,der,Stuhl,,,Stühle
noun,woman,die,Frau,,,Frauen
noun,table,der,Tisch,,,Tische
noun,man,der,Mann,,,Männer
noun,woman,die,Frau,,,Frauen
noun,friend,der,Freund,,,Freunde
noun,city,die,Stadt,,,Städte
noun,chair,der,Stuhl,,,Stühle
noun,door,die,Tür,,,Türen
noun,table,der,Tisch,,,Tische
noun,man,der,Mann,,,Männer
noun,woman,die,Frau,,,Frauen
noun,friend,der,Freund,,,Freunde
noun,table,der,Tisch,,,Tische
noun,door,die,Tür,,,Türen
noun,chair,der,Stuhl,,,Stühle
noun,dog,der,Hund,,,Hunde
noun,child,das,Kind,,,Kinder
noun,friend,der,Freund,,,Freunde
noun,child,das,Kind,,,Kinder
noun,child,das,Kind,,,Kinder
noun,cat,die,Katze,,,Katzen
noun,woman,die,Frau,,,Frauen
noun,woman,die,Frau,,,Frauen
noun,child,das,Kind,,,Kinder
noun,table,der,Tisch,,,Tische
noun,door,die,Tür,,,Türen
noun,cat,die,Katze,,,Katzen
noun,woman,die,Frau,,,Frauen
noun,table,der,Tisch,,,Tische
noun,friend,der,Freund,,,Freunde
noun,man,der,Mann,,,Männer
noun,city,die,Stadt,,,Städte
noun,table,der,Tisch,,,Tische
noun,city,die,Stadt,,,Städte
noun,table,der,Tisch,,,Tische
noun,man,der,Mann,,,Männer
noun,friend,der,Freund,,,Freunde
noun,chair,der,Stuhl,,,Stühle
noun,friend,der,Freund,,,Freunde
noun,man,der,Mann,,,Männer
noun,friend,der,Freund,,,Freunde
noun,child,das,Kind,,,Kinder
noun,man,der,Mann,,,Männer
noun,city,die,Stadt,,,Städte
noun,table,der,Tisch,,,Tische
noun,city,die,Stadt,,,Städte
noun,chair,der,Stuhl,,,Stühle
noun,child,das,Kind,,,Kinder
noun,friend,der,Freund,,,Freunde
noun,table,der,Tisch,,,Tische
noun,door,die,Tür,,,Türen
noun,cat,die,Katze,,,Katzen
noun,friend,der,Freund,,,Freunde
noun,woman,die,Frau,,,Frauen
noun,door,die,Tür,,,Türen
noun,man,der,Mann,,,Männer
noun,dog,der,Hund,,,Hunde
noun,child,das,Kind,,,Kinder
noun,cat,die,Katze,,,Katzen
noun,table,der,Tisch,,,Tische
noun,woman,die,Frau,,,Frauen
noun,child,das,Kind,,,Kinder
noun,chair,der,Stuhl,,,Stühle
noun,child,das,Kind,,,Kinder
noun,table,der,Tisch,,,Tische
noun,door,die,Tür,,,Türen
noun,woman,die,Frau,,,Frauen
noun,door,die,Tür,,,Türen
noun,chair,der,Stuhl,,,Stühle
noun,door,die,Tür,,,Türen
noun,chair,der,Stuhl,,,Stühle
noun,friend,der,Freund,,,Freunde
noun,city,die,Stadt,,,Städte
noun,table,der,Tisch,,,Tische
noun,cat,die,Katze,,,Katzen
noun,man,der,Mann,,,Männer
noun,door,die,Tür,,,Türen
noun,door,die,Tür,,,Türen
noun,child,das,Kind,,,Kinder
noun,child,das,Kind,,,Kinder
noun,cat,die,Katze,,,Katzen
noun,friend,der,Freund,,,Freunde
noun,man,der,Mann,,,Männer
noun,chair,der,Stuhl,,,Stühle
noun,cat,die,Katze,,,Katzen
noun,man,der,Mann,,,Männer
noun,dog,der,Hund,,,Hunde
noun,child,das,Kind,,,Kinder
noun,chair,der,Stuhl,,,Stühle
noun,door,die,Tür,,,Türen
noun,child,das,Kind,,,Kinder
noun,city,die,Stadt,,,Städte
noun,door,die,Tür,,,Türen
noun,woman,die,Frau,,,Frauen
noun,man,der,Mann,,,Männer
noun,table,der,Tisch,,,Tische
noun,friend,der,Freund,,,Freunde
noun,door,die,Tür,,,Türen
noun,door,die,Tür,,,Türen
noun,door,die,Tür,,,Türen
noun,door,die,Tür,,,Türen
noun,city,die,Stadt,,,Städte
noun,friend,der,Freund,,,Freunde
noun,cat,die,Katze,,,Katzen
noun,child,das,Kind,,,Kinder
noun,child,das,Kind,,,Kinder
noun,table,der,Tisch,,,Tische
noun,city,die,Stadt,,,Städte
noun,dog,der,Hund,,,Hunde
noun,chair,der,Stuhl,,,Stühle
noun,dog,der,Hund,,,Hunde
noun,dog,der,Hund,,,Hunde
noun,cat,die,Katze,,,Katzen
noun,city,die,Stadt,,,Städte
noun,woman,die,Frau,,,Frauen
noun,woman,die,Frau,,,Frauen
noun,man,der,Mann,,,Männer
noun,table,der,Tisch,,,Tische
noun,man,der,Mann,,,Männer
noun,city,die,Stadt,,,Städte
noun,cat,die,Katze,,,Katzen
noun,city,die,Stadt,,,Städte
noun,table,der,Tisch,,,Tische
noun,door,die,Tür,,,Türen
noun,city,die,Stadt,,,Städte
noun,child,das,Kind,,,Kinder
noun,chair,der,Stuhl,,,Stühle
noun,city,die,Stadt,,,Städte
noun,child,das,Kind,,,Kinder
noun,table,der,Tisch,,,Tische
noun,city,die,Stadt,,,Städte
noun,door,die,Tür,,,Türen
noun,man,der,Mann,,,Männer
noun,door,die,Tür,,,Türen
noun,chair,der,Stuhl,,,Stühle
noun,door,die,Tür,,,Türen
noun,man,der,Mann,,,Männer
noun,cat,die,Katze,,,Katzen
noun,friend,der,Freund,,,Freunde
noun,woman,die,Frau,,,Frauen
noun,man,der,Mann,,,Männer
noun,dog,der,Hund,,,Hunde
noun,dog,der,Hund,,,Hunde
noun,door,die,Tür,,,Türen
noun,chair,der,Stuhl,,,Stühle
noun,chair,der,Stuhl,,,Stühle
noun,child,das,Kind,,,Kinder
noun,city,die,Stadt,,,Städte
noun,dog,der,Hund,,,Hunde
noun,city,die,Stadt,,,Städte
noun,door,die,Tür,,,Türen
noun,chair,der,Stuhl,,,Stühle
noun,child,das,Kind,,,Kinder
noun,dog,der,Hund,,,Hunde
noun,friend,der,Freund,,,Freunde
noun,city,die,Stadt,,,Städte
noun,city,die,Stadt,,,Städte
noun,door,die,Tür,,,Türen
noun,child,das,Kind,,,Kinder
noun,chair,der,Stuhl,,,Stühle
noun,man,der,Mann,,,Männer
noun,cat,die,Katze,,,Katzen
noun,man,der,Mann,,,Männer
noun,door,die,Tür,,,Türen
noun,man,der,Mann,,,Männer
noun,city,die,Stadt,,,Städte
noun,child,das,Kind,,,Kinder
noun,friend,der,Freund,,,Freunde
noun,door,die,Tür,,,Türen
noun,child,das,Kind,,,Kinder
noun,city,die,Stadt,,,Städte
noun,chair,der,Stuhl,,,Stühle
noun,dog,der,Hund,,,Hunde
noun,city,die,Stadt,,,Städte
noun,woman,die,Frau,,,Frauen
noun,chair,der,Stuhl,,,Stühle
noun,child,das,Kind,,,Kinder
noun,door,die,Tür,,,Türen
noun,woman,die,Frau,,,Frauen
noun,table,der,Tisch,,,Tische
noun,friend,der,Freund,,,Freunde
noun,door,die,Tür,,,Türen
noun,city,die,Stadt,,,Städte
noun,city,die,Stadt,,,Städte
noun,city,die,Stadt,,,Städte
noun,friend,der,Freund,,,Freunde
noun,woman,die,Frau,,,Frauen
noun,dog,der,Hund,,,Hunde
noun,man,der,Mann,,,Männer
noun,child,das,Kind,,,Kinder
noun,cat,die,Katze,,,Katzen
noun,cat,die,Katze,,,Katzen
noun,chair,der,Stuhl,,,Stühle
noun,friend,der,Freund,,,Freunde
noun,door,die,Tür,,,Türen
noun,child,das,Kind,,,Kinder
noun,table,der,Tisch,,,Tische
noun,friend,der,Freund,,,Freunde
noun,city,die,Stadt,,,Städte
noun,dog,der,Hund,,,Hunde
noun,door,die,Tür,,,Türen
noun,cat,die,Katze,,,Katzen
noun,man,der,Mann,,,Männer
noun,chair,der,Stuhl,,,Stühle
noun,dog,der,Hund,,,Hunde
noun,woman,die,Frau,,,Frauen
noun,woman,die,Frau,,,Frauen
noun,chair,der,Stuhl,,,Stühle
noun,dog,der,Hund,,,Hunde
noun,cat,die,Katze,,,Katzen
noun,friend,der,Freund,,,Freunde
noun,child,das,Kind,,,Kinder
noun,friend,der,Freund,,,Freunde
noun,table,der,Tisch,,,Tische
noun,woman,die,Frau,,,Frauen
noun,chair,der,Stuhl,,,Stühle
noun,chair,der,Stuhl,,,Stühle
noun,woman,die,Frau,,,Frauen
noun,man,der,Mann,,,Männer
noun,door,die,Tür,,,Türen
noun,table,der,Tisch,,,Tische
noun,chair,der,Stuhl,,,Stühle
noun,woman,die,Frau,,,Frauen
noun,man,der,Mann,,,Männer
noun,woman,die,Frau,,,Frauen
noun,man,der,Mann,,,Männer
noun,door,die,Tür,,,Türen
noun,friend,der,Freund,,,Freunde
noun,woman,die,Frau,,,Frauen
noun,child,das,Kind,,,Kinder
noun,dog,der,Hund,,,Hunde
noun,table,der,Tisch,,,Tische
noun,cat,die,Katze,,,Katzen
noun,cat,die,Katze,,,Katzen
noun,cat,die,Katze,,,Katzen
noun,man,der,Mann,,,Männer
noun,man,der,Mann,,,Männer
noun,dog,der,Hund,,,Hunde
noun,man,der,Mann,,,Männer
noun,woman,die,Frau,,,Frauen
noun,friend,der,Freund,,,Freunde
noun,dog,der,Hund,,,Hunde
noun,friend,der,Freund,,,Freunde
noun,cat,die,Katze,,,Katzen
noun,man,der,Mann,,,Männer
noun,city,die,Stadt,,,Städte
noun,friend,der,Freund,,,Freunde
noun,table,der,Tisch,,,Tische
noun,chair,der,Stuhl,,,Stühle
noun,child,das,Kind,,,Kinder
noun,woman,die,Frau,,,Frauen
noun,city,die,Stadt,,,Städte
