word_class,english,article,german,past_tense,perfect_tense,plural
adjective,fast,,schnell,,,
noun,table,der,Tisch,,,Tische
noun,city,die,Stadt,,,Städte
noun,chair,der,Stuhl,,,Stühle
noun,child,das,Kind,,,Kinder
noun,friend,der,Freund,,,Freunde
noun,table,der,Tisch,,,Tische
noun,door,die,Tür,,,Türen
verb,to run,,laufen,lief,ist gelaufen,
verb,to read,,lesen,las,hat gelesen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to read,,lesen,las,hat gelesen,
verb,to love,,lieben,liebte,hat geliebt,
adjective,bad,,schlecht,,,
adjective,happy,,glücklich,,,
adjective,weak,,schwach,,,
adjective,sad,,traurig,,,
adjective,good,,gut,,,
adjective,good,,gut,,,
